unnamed: 0,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name,submitted_by
35984,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2021-12-01,2021-12-31,Annual harvest,Harvest,2021-01-01,Annual harvest 2021,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,865.0,1775900.0,0.0004870769750549,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37211809.0,344139.0,354637.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426219.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:14,2024-11-23T00:40:14,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2021-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
35992,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2021-12-01,2021-12-31,Annual harvest,Harvest,2021-01-01,Annual harvest 2021,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,17392.0,1775900.0,0.0097933442198321,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37210790.0,344139.0,354637.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426184.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:39:49,2024-11-23T00:39:49,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2021-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
35999,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2020-12-01,2020-12-31,Annual harvest,Harvest,2020-01-01,Annual harvest 2020,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,1118.0,1739408.0,0.0006427474175121,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37211655.0,344138.0,354636.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426219.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:10,2024-11-23T00:40:10,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2020-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36006,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2020-12-01,2020-12-31,Annual harvest,Harvest,2020-01-01,Annual harvest 2020,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,21016.8,1739408.0,0.0120827315960372,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37212288.0,344138.0,354636.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426184.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:26,2024-11-23T00:40:26,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2020-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36018,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2019-12-01,2019-12-31,Annual harvest,Harvest,2019-01-01,Annual harvest 2019,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,1093.0,1702347.0,0.000642054763218,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37211742.0,344137.0,354635.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426219.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:13,2024-11-23T00:40:13,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2019-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36026,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2019-12-01,2019-12-31,Annual harvest,Harvest,2019-01-01,Annual harvest 2019,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,17440.5,1702347.0,0.010244973557095,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37212143.0,344137.0,354635.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426184.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:22,2024-11-23T00:40:22,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2019-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36038,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2018-12-01,2018-12-31,Annual harvest,Harvest,2018-01-01,Annual harvest 2018,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,1046.5,1709200.0,0.0006122747484203,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37211551.0,344136.0,354634.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426219.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:08,2024-11-23T00:40:08,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2018-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36048,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2018-12-01,2018-12-31,Annual harvest,Harvest,2018-01-01,Annual harvest 2018,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,17413.5,1709200.0,0.0101880996957641,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37212140.0,344136.0,354634.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426184.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:22,2024-11-23T00:40:22,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2018-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36060,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2017-12-01,2017-12-31,Annual harvest,Harvest,2017-01-01,Annual harvest 2017,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,678.0,1681594.0,0.000403188879123,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37212012.0,344134.0,354632.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426219.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:19,2024-11-23T00:40:19,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2017-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36072,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2017-12-01,2017-12-31,Annual harvest,Harvest,2017-01-01,Annual harvest 2017,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,16509.0,1681594.0,0.0098174708044866,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37212013.0,344134.0,354632.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426184.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:19,2024-11-23T00:40:19,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2017-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36083,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2016-12-01,2016-12-31,Annual harvest,Harvest,2016-01-01,Annual harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,813.0,1647939.0,0.0004933435036126,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37212030.0,344133.0,354631.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426219.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:20,2024-11-23T00:40:20,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2016-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36096,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2016-12-01,2016-12-31,Annual harvest,Harvest,2016-01-01,Annual harvest 2016,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,15447.0,1647939.0,0.0093735265686411,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37212704.0,344133.0,354631.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426184.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:36,2024-11-23T00:40:36,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2016-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36108,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2015-12-01,2015-12-31,Annual harvest,Harvest,2015-01-01,Annual harvest 2015,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,863.0,1616188.0,0.0005339725328984,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37210913.0,344132.0,354630.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426219.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:39:52,2024-11-23T00:39:52,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2015-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36119,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2015-12-01,2015-12-31,Annual harvest,Harvest,2015-01-01,Annual harvest 2015,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,16120.0,1616188.0,0.0099740871730269,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37211962.0,344132.0,354630.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426184.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:18,2024-11-23T00:40:18,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2015-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36134,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2014-12-01,2014-12-31,Annual harvest,Harvest,2014-01-01,Annual harvest 2014,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,1230.0,1581883.0,0.0007775543450432,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37212256.0,344131.0,354629.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426219.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:25,2024-11-23T00:40:25,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2014-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36143,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2014-12-01,2014-12-31,Annual harvest,Harvest,2014-01-01,Annual harvest 2014,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,14916.0,1581883.0,0.0094292687891582,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37211282.0,344131.0,354629.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426184.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:01,2024-11-23T00:40:01,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2014-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36159,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2013-12-01,2013-12-31,Annual harvest,Harvest,2013-01-01,Annual harvest 2013,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,1326.0,1544787.0,0.0008583707656783,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37212168.0,344130.0,354628.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426219.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:23,2024-11-23T00:40:23,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2013-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36169,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2013-12-01,2013-12-31,Annual harvest,Harvest,2013-01-01,Annual harvest 2013,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Collected,15240.0,1544787.0,0.0098654377593804,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",ha,hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37211298.0,344130.0,354628.0,869.0,522.0,crop:harvested,121893.0,3101.0,25.0,7426184.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:40:01,2024-11-23T00:40:01,2024-11-23T01:01:18,Published,2024-11-23T01:11:37,Ad Hoc,2013-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36180,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2021-12-01,2021-12-31,Annual harvest,Harvest,2021-01-01,Annual harvest 2021,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,7457.8,1775900.0,0.0041994481671265,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",t,Tonne,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37247655.0,344139.0,354637.0,869.0,522.0,crop:quantity,121893.0,3101.0,25.0,7432691.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:55:01,2024-11-23T00:55:01,2024-11-23T01:03:22,Published,2024-11-23T01:11:37,Ad Hoc,2021-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36186,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2021-12-01,2021-12-31,Annual harvest,Harvest,2021-01-01,Annual harvest 2021,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,224746.8,1775900.0,0.1265537473956867,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",t,Tonne,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37246636.0,344139.0,354637.0,869.0,522.0,crop:quantity,121893.0,3101.0,25.0,7432656.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:54:35,2024-11-23T00:54:35,2024-11-23T01:03:22,Published,2024-11-23T01:11:37,Ad Hoc,2021-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36193,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2020-12-01,2020-12-31,Annual harvest,Harvest,2020-01-01,Annual harvest 2020,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,10314.0,1739408.0,0.0059296036352598,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",t,Tonne,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37247501.0,344138.0,354636.0,869.0,522.0,crop:quantity,121893.0,3101.0,25.0,7432691.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:54:57,2024-11-23T00:54:57,2024-11-23T01:03:22,Published,2024-11-23T01:11:37,Ad Hoc,2020-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36200,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2020-12-01,2020-12-31,Annual harvest,Harvest,2020-01-01,Annual harvest 2020,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,141926.15,1739408.0,0.081594513765603,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",t,Tonne,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37248134.0,344138.0,354636.0,869.0,522.0,crop:quantity,121893.0,3101.0,25.0,7432656.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:55:14,2024-11-23T00:55:14,2024-11-23T01:03:22,Published,2024-11-23T01:11:37,Ad Hoc,2020-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36212,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2019-12-01,2019-12-31,Annual harvest,Harvest,2019-01-01,Annual harvest 2019,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,9697.8,1702347.0,0.00569672340598,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",t,Tonne,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37247588.0,344137.0,354635.0,869.0,522.0,crop:quantity,121893.0,3101.0,25.0,7432691.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:55:00,2024-11-23T00:55:00,2024-11-23T01:03:22,Published,2024-11-23T01:11:37,Ad Hoc,2019-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
